"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"ATF1",0.223232563404298,4.43390401328714,2.68880665588808,3.46351671097769,0.0397966266635369,1.57903486625856,2.07027456084553,1.90370006995986,-0.0652302616900383
"CAALFM_C304350CA",0.873659115657651,3.56676092038182,2.4970288728028,2.00068270869649,0.233225871148236,0.715943398634338,0.440979464095437,-0.119972749858163,-0.0540863405703806
"CAALFM_C304360WA",0.202559594066564,0.291913936974248,0.580305678305115,0.425455688104412,0.456862430115411,0.464237987118141,0.636214045329712,0.131445551248212,-0.0773129664832255
"CAALFM_C304370CA",-1.40879215893313,-0.61832112208021,-1.83166823063947,-1.90467473091934,-0.791288431007657,-1.23770672297885,-1.64858804013332,-0.872684755046585,-0.150552621373933
"CAALFM_C304380CA",-1.20286140815103,-0.572845836937736,-2.03719133095384,-2.18542748866463,-0.994285564550037,-1.04021796210639,-2.59859527540741,-0.993272972723031,-0.0393398423896627
"CUP5",0.500480479036521,0.486081912354677,0.824712841278532,0.465485238408033,0.550825647298667,0.70464268633475,0.570490251234501,0.308665249375803,0.100770732612766
"NUP85",-0.523549509277464,-0.777470831224606,-1.12592127096158,-1.22941440352169,-0.656970018924888,-0.739573853088347,-1.00201398942594,-0.911431017590919,-0.183626046303504
"CAALFM_C304410CA",0.345240557412254,0.530694591727228,1.17153631806391,1.15030839174665,0.760374822690138,0.546684125301755,0.490289501758721,0.000123472700457184,0.0180659029968305
"CAALFM_C304420WA",2.09849669898064,2.62277130584344,3.53171651249878,3.06593337997928,3.1947590292919,2.72434211933506,2.96391311499791,1.25084452923773,0.842926762664746
"RIP1",-0.505598444387215,-0.486524555658985,-0.643788628245372,-0.603408297714747,-0.53641950693488,-0.252974308419746,0.0362485579715467,0.00879215345019651,0.321935855298581
"CAALFM_C304440CA",1.10396754188669,-2.69323075884543,-0.409900209671965,-2.22334329411628,-1.54826010438389,-2.32720829351456,-0.176689270922939,-2.20077608895928,-1.58449930222411
"CAALFM_C304450CA",1.99928487648203,-0.356713643099236,1.39786704983803,0.0084829188890832,0.149264927615473,0.00177941967613074,1.49369329703226,-0.50083201329007,-0.12098167116754
"CAALFM_C304460WA",0.702744193722803,0.597360747271986,0.933456363957408,0.897608151841257,0.70008865948819,0.990664778683659,1.17855838272332,0.600274091417925,0.459849802136386
"PKC1",-0.113294247825777,0.156509291060384,-0.0783127845745496,0.453258873128743,0.0694610056098284,0.26559300739844,0.478446823462238,0.18827679839365,0.270235094208934
"RAS2",2.65693318201246,1.79354397250644,1.50893963117692,1.57310713239788,-0.0272501300445671,0.243734144438339,-1.68489205912413,-0.336387808216002,0.634170276302321
"RAX1",0.328521218871773,-0.0503075087049894,0.0874381134412626,-0.446389714621048,0.0252353952975759,-0.13404093090606,0.268626067301299,-0.0379337523851212,0.0895685077937128
"RPL19A",-0.547071825823804,-0.35433498571246,-0.687770398053721,-1.51172453317739,-0.460946431402932,-0.424269338436894,-1.27566034553472,-0.333548414018632,0.0695811041765382
"CAALFM_C304510WA",-1.23940793171332,-1.22997785612269,-1.4246102742509,-2.33375911195925,-0.760881660378173,-1.1854977853691,-2.48463501649991,-1.46804112554847,-0.582655847500231
"ADE2",-0.281716698867926,0.217881291163716,-0.611844625608045,0.571635987161969,0.0466214442952851,0.955680639348517,-0.55960903206054,0.429240850728711,-0.0837614113297082
"TEC1",3.0501942143135,0.964030980639209,2.8465422263204,-0.124791277608386,3.52348816122132,-0.21937919701137,3.81278419731158,1.57610706956318,-0.728613190675699
"CAALFM_C304540CA",0.164408615490288,-0.3173867741281,0.139440368453025,-0.472835167698058,0.0914346624914609,-0.205016588339742,0.539622483275567,-0.359998413474875,0.0688234748500384
"CMK1",-0.43171543332987,1.70062050572749,0.282862653890034,3.96999476165565,0.157975989263824,2.23848706464219,-0.12308793203442,0.878527229333703,2.38294328884017
"MAK21",-1.33400923640581,-0.764368308772311,-2.83909981600136,-2.01907417288486,-1.23733292244759,-1.37572934303197,-3.04459618344024,-1.12740313179461,-0.239147693462574
"DUR35",1.42954889208758,-0.333733334009365,1.71628736720907,-0.47063719381705,0.272535770814871,0.0162839937550714,1.29807824081329,0.360180405847307,-0.599800072022964
"STP1",-0.919118784219737,2.75391793082362,0.287293965330491,2.42860618149011,-0.0661321172053082,2.39071487701973,-0.16905231918623,1.34858433775513,0.913216698720226
"CAALFM_C304590WA",0.0898384913299959,-0.422133746677765,-0.152573996573757,-0.380962203884434,0.106020546737307,-0.0747032430192925,-0.346690930284336,-0.201698302843586,-0.208287907934069
"MEA1",0.270013253413438,-0.442113398683352,0.404106998751154,-0.421434725717831,0.632176353817416,0.0247888776849442,0.123947858969709,0.212568252702228,-0.093576982991963
