"","condition_YL3_vs_ctl"
"CAALFM_C106700WA",0.387439264360354
"CAALFM_C106710WA",0.194206505090054
"CAALFM_C106720CA",2.07860588255915
"RAC1",-0.609577617837028
"NOP6",-0.64516322461205
"CAALFM_C106750WA",0.535562570325435
"CAALFM_C106760CA",-0.98646961469014
"CAALFM_C106770WA",-0.44684650778209
"NPR1",0.591490808908201
"MRPL19",0.355670255930981
"CAALFM_C106800WA",-0.599360054432642
"CAT1",-2.62708567744659
"CAALFM_C106820WA",-0.930274911200708
"CAALFM_C106830WA",0.264347201865185
"CAALFM_C106840CA",0.266834804837509
"PCL7",0.34591905584643
"CAALFM_C106860WA",-0.0474234962286837
"CAALFM_C106870CA",2.99215347914496
"SPO22",-0.309899441666543
"CAALFM_C106890CA",-0.0912120295376861
"MMD1",4.56126200228865
"CAALFM_C106910CA",-0.479977641623522
"CAALFM_C106920CA",-0.461034848248124
"PGA63",-0.544239844284091
"ATC1",1.94418427530612
"tP(AGG)1",0.770316306182396
"SUI2",-0.572286363928165
"CAALFM_C106970CA",-0.720428400858161
"CAALFM_C106980CA",-1.91340895660796
"tL(UAA)4",-0.0316759885601941
"MEF2",-0.381672900757234
"CAALFM_C107010WA",-0.245944633301633
"PUT3",-0.223926951664703
"RBT4",-0.255941930437507
"CAALFM_C107040CA",0.183552226926144
"CAALFM_C107050CA",-0.613748943411258
"CAALFM_C107060CA",0.744109972689707
"DHH1",-0.332331678311821
"CAALFM_C107080WA",2.31829310877272
"CAALFM_C107090CA",-0.9996207668373
"CAALFM_C107100CA",0.660703454530071
"TAF145",0.0423644018632953
"GAP4",-0.46942051177029
"CAALFM_C107130CA",-0.772584033915021
"RIA1",-0.614150680058916
"CAALFM_C107150WA",-0.364001950292808
"CAALFM_C107160CA",-0.186122279708633
"ZCF23",1.16800229882854
"CCS1",1.07473747433776
"SOG2",-0.213852972932553
"YMC1",0.446522448514405
"CAALFM_C107210CA",-0.304669354637395
"CAALFM_C107220WA",-1.57470588939906
"PHO15",3.11070340554729
"YPD1",-0.00597696006867313
"ALG9",-0.145451643527461
"CAALFM_C107260CA",-0.323067411432703
"SEC34",0.0778517151349889
"CAALFM_C107280CA",0.357170736618199
"tL(AAG)2",2.81182626367989
"CAALFM_C107320WA",0.169302480481184
"RME1",-0.627000783982671
"CAALFM_C107340WA",-1.03919181994443
"GPX3",0.972289457656299
"CAALFM_C107360WA",-1.09970845904106
"CPH1",-0.646854118755259
"KSP1",-0.248557157385183
"CAALFM_C107390WA",0.0773961846486151
"CAALFM_C107400CA",-0.256536601010012
"SKP1",1.25580078492785
"PEX3",1.06351512158466
"PHO100",-0.531507789106399
"CAALFM_C107440WA",0.18066856771936
"CAALFM_C107450WA",0.456955030031108
"GPI8",-0.395368866624993
"CAALFM_C107470CA",-0.0111374162445423
"CAALFM_C107480CA",-0.899465285753023
"CAALFM_C107490CA",-1.24516051276152
"LHP1",-0.742390917812908
"CAALFM_C107510WA",0.0776428230467671
"IST2",1.9503737129516
"CAALFM_C107530WA",0.528919934275958
"BBC1",2.09189239743921
"SWD2",-0.275238376076086
"CAALFM_C107560WA",0.176141178523892
"CAALFM_C107570CA",-0.295208436974822
"PRY1",0.186446441839312
"CAALFM_C107590CA",0.310086544322517
"ATP7",1.31464722106558
"CAALFM_C107610CA",1.76331513561829
"PIR32",0.91672464060362
"CAALFM_C107630WA",-0.00468029612748209
"CAALFM_C107640CA",-0.580478535715311
"CAALFM_C107650WA",-0.971124954667628
"CAALFM_C107660WA",0.648711994855772
"ZCF4",-3.61914572656969
"HAP2",0.0205518959746258
"CAALFM_C107690CA",-0.33265231489753
"VRG4",-1.27538128581406
"ADE4",-0.23158316606173
"FGR6-3",-1.55454194455323
"CAALFM_C107780WA",0.614739860505846
"CAALFM_C107790CA",-0.467459353544928
"MTO1",-0.904897760529735
"CAALFM_C107810CA",-0.748709964178546
"CAALFM_C107820WA",0.58734106437584
"CAALFM_C107830CA",1.02199739703767
"CAALFM_C107840WA",4.01793654138003
"CAALFM_C107850CA",-0.617941650575519
"CAALFM_C107860WA",-0.874370851837155
"SMI1",0.370533223429442
"GCS1",-0.767865198854931
"ADE5%2C7",0.464060154563772
"COI1",-2.69270022068684
"MRPL3",-0.332405963948438
"CAALFM_C107920WA",1.69098864727046
"ERD1",1.1767302347736
"CAALFM_C107940WA",0.394272225877235
