"","condition_LS3_vs_ctl"
"CAALFM_C106670WA",-1.26051030870626
"VPS34",1.3524282630693
"CYK3",-0.251494984377615
"CAALFM_C106700WA",-0.243693718390878
"CAALFM_C106710WA",0.119738538761875
"CAALFM_C106720CA",1.55589153644686
"RAC1",-0.676686581443355
"NOP6",-0.654061732749507
"CAALFM_C106750WA",1.05881542595146
"CAALFM_C106760CA",-0.584689251487549
"CAALFM_C106770WA",0.0554150433674265
"NPR1",0.418818445644555
"MRPL19",-0.41067909503921
"CAALFM_C106800WA",-0.344425784952661
"CAT1",-3.44281958534089
"CAALFM_C106820WA",-1.20076651816383
"CAALFM_C106830WA",0.22147191256
"CAALFM_C106840CA",0.256808127085277
"PCL7",0.195540503957042
"CAALFM_C106860WA",1.84307039432719
"CAALFM_C106870CA",2.63065866086167
"SPO22",-0.339949882751521
"CAALFM_C106890CA",-0.571260621971021
"MMD1",4.52019380710239
"CAALFM_C106910CA",-0.319131234982591
"CAALFM_C106920CA",-0.50068165231375
"PGA63",-0.560899109164973
"ATC1",2.79581335664321
"tP(AGG)1",0.547775247757907
"SUI2",-0.613437200092323
"CAALFM_C106970CA",-0.739846009406477
"CAALFM_C106980CA",-1.15835619913658
"tL(UAA)4",-0.337087663069807
"MEF2",-0.932368352796082
"CAALFM_C107010WA",-1.53375158525862
"PUT3",-0.412459838912941
"RBT4",-0.025535002491651
"CAALFM_C107040CA",0.25271007700566
"CAALFM_C107050CA",-0.0234971107433345
"CAALFM_C107060CA",0.241026913700867
"DHH1",-0.741982980425853
"CAALFM_C107080WA",3.00392015204883
"CAALFM_C107090CA",-0.814068646647482
"CAALFM_C107100CA",1.07854037878771
"TAF145",0.0742584348640474
"GAP4",-0.460039376546546
"CAALFM_C107130CA",-0.524801202091988
"RIA1",-0.379713042305882
"CAALFM_C107150WA",0.325542140301721
"CAALFM_C107160CA",-0.288468251439893
"ZCF23",0.74097696162019
"CCS1",1.48951008066755
"SOG2",-0.33599694509983
"YMC1",0.384497293972439
"CAALFM_C107210CA",-0.357441919033416
"CAALFM_C107220WA",1.94635358526549
"PHO15",2.99656102409438
"YPD1",-0.670692365417378
"ALG9",-0.0271543482539001
"CAALFM_C107260CA",-0.318287137861789
"SEC34",0.125636430266244
"CAALFM_C107280CA",0.10433560601971
"tL(AAG)2",0.465511862581371
"CAALFM_C107320WA",-0.432728494349667
"RME1",-2.82239751940002
"CAALFM_C107340WA",-1.02671694275937
"GPX3",1.00699956228828
"CAALFM_C107360WA",-1.45550478232237
"CPH1",-0.0689448074428144
"KSP1",0.130309501138974
"CAALFM_C107390WA",-0.0261947571370557
"CAALFM_C107400CA",-0.510671787860417
"SKP1",0.461108231885377
"PEX3",0.961621052528856
"PHO100",-0.616198205378996
"CAALFM_C107440WA",0.39009266233139
"CAALFM_C107450WA",-0.361062632764132
"GPI8",-0.761499327479153
"CAALFM_C107470CA",-0.200428221520567
"CAALFM_C107480CA",-0.406204322998526
"CAALFM_C107490CA",-1.65805274481292
"LHP1",-0.973525602812927
"CAALFM_C107510WA",-0.150849672651386
"IST2",2.17309907023735
"CAALFM_C107530WA",-0.404256198655156
"BBC1",1.92125127926999
"SWD2",-0.403552283749098
"CAALFM_C107560WA",0.348271380554375
"CAALFM_C107570CA",0.120072219790119
"PRY1",0.30429812020882
"CAALFM_C107590CA",0.449450052298261
"ATP7",0.216820780841694
"CAALFM_C107610CA",1.18191319335624
"PIR32",0.623147511242823
"CAALFM_C107630WA",-0.463860556226667
"CAALFM_C107640CA",-0.640397254551139
"CAALFM_C107650WA",0.497695377410594
"CAALFM_C107660WA",0.28418251536138
"ZCF4",-0.27540274635321
"HAP2",-0.0832160184483285
"CAALFM_C107690CA",-0.431083342458678
"VRG4",-1.34481797352068
"ADE4",0.123268520771061
"FGR6-3",-1.22592939696994
"CAALFM_C107780WA",0.646436158496514
"CAALFM_C107790CA",-0.740353438699338
"MTO1",-0.906843198539651
"CAALFM_C107810CA",-0.823380683127144
"CAALFM_C107820WA",0.560705160426188
"CAALFM_C107830CA",0.287093715249996
"CAALFM_C107840WA",4.01814811326228
"CAALFM_C107850CA",-0.915064362857938
"CAALFM_C107860WA",-1.44147495554941
"SMI1",0.316828727878608
"GCS1",-0.24875776979961
"ADE5%2C7",1.32780476265438
"COI1",-1.97576515221293
"MRPL3",-0.712328223603272
"CAALFM_C107920WA",0.75797409584484
