"","condition_YS30_vs_ctl"
"GPT1",0.575502901183492
"TRY2",0.166349546394687
"CAALFM_C105100WA",0.347521921658358
"ARO4",-0.103215089538338
"CAALFM_C105120WA",-0.103501029901503
"BRG1",3.59013177944065
"CAALFM_C105150CA",1.41262403266725
"CAALFM_C105160CA",0.0660600504769284
"CUE5",-1.65079342646981
"CAALFM_C105180CA",0.0736750027598252
"CAALFM_C105190CA",-0.136036861664875
"CAALFM_C105200CA",0.51601829612534
"CAALFM_C105210CA",-0.756966269923179
"CAALFM_C105220CA",0.1258675849599
"CAALFM_C105230WA",-0.555537735334565
"RPT1",0.387362403011347
"CAALFM_C105250WA",NA
"SDH1",-0.642048333333463
"CAALFM_C105270CA",-0.398877808378967
"CAALFM_C105280WA",-0.182026253297527
"GRS1",0.15554610804619
"PRD1",-1.12288999467817
"tP(UGG)1",-0.15581919353213
"CAALFM_C105320CA",0.895731136890068
"CAALFM_C105330CA",-1.01859077806775
"ZCF2",0.504139230216381
"YPT53",0.286542114186609
"CAALFM_C105360CA",0.291523863989114
"CAALFM_C105370CA",-0.398104165893495
"CAALFM_C105380CA",0.804610473268491
"CAALFM_C105390CA",0.236276655328153
"CAALFM_C105400CA",-0.49207201198162
"TRP99",-1.24367946060762
"CAALFM_C105420WA",0.00207066323340807
"SPT20",-0.539365934397768
"CAALFM_C105440CA",0.183300812274412
"CAALFM_C105450WA",NA
"KOG1",0.198199157861906
"MTM1",-0.228826526610756
"CAALFM_C105480CA",0.158118068607267
"CAALFM_C105490CA",-0.0625231885440234
"RSM22",-0.381042456022091
"RPS27A",0.0475661689444501
"CAALFM_C105520WA",1.97635165007727
"SSH1",-0.0681124959480591
"CAALFM_C105540CA",0.981944300735709
"CAALFM_C105550CA",0.0336077675695814
"RIB4",-1.90597132705419
"tN(GUU)2",0.0287703578264467
"tN(GUU)1",-0.202979917284972
"tT(AGU)1",-0.0125481755550949
"GSL1",-0.55206891747276
"CAALFM_C105610WA",-0.589416061866027
"STE3",0.0317593322116422
"CAALFM_C105630CA",1.04546828136566
"FAL1",0.426755354167754
"CAALFM_C105650WA",0.3040602626811
"CAALFM_C105660CA",0.132576668712007
"CAALFM_C105670WA",-0.789536449720707
"RIM1",-0.40423060418134
"CAALFM_C105690CA",0.304152041912104
"AUT7",-1.47933111018995
"UGA4",-0.96528296683947
"CAALFM_C105720WA",0.683877027792342
"CAALFM_C105730WA",0.213944186512697
"CAALFM_C105740CA",0.773803459297448
"CAALFM_C105750CA",0.0308657860280208
"PGA26",-4.27835086359845
"PRC3",-1.25777247534489
"CAALFM_C105780WA",0.444477077815261
"CAALFM_C105790WA",-0.316116234488127
"CAALFM_C105800CA",0.449458212294596
"GIM5",0.0490918037238072
"RAD10",-0.645257650166079
"CAALFM_C105830WA",-0.397837417765632
"PRN1",-0.349520934998383
"POL32",0.825749915748768
"PRN2",0.16894568712942
"PRN3",0.0292065474322848
"PRN4",0.31680321806277
"CAALFM_C105890WA",-0.0839475194400613
"CAALFM_C105900WA",0.772734801148248
"SIP5",-0.465605538367966
"CAALFM_C105920WA",0.683324338714916
"CAALFM_C105930CA",-0.867372994896034
