"","condition_SS30_vs_ctl"
"tP(AGG)1",-0.878190527294359
"SUI2",-0.237890228347691
"CAALFM_C106970CA",1.03350605782138
"CAALFM_C106980CA",0.669126286995927
"tL(UAA)4",-0.395652547769494
"MEF2",-0.552538996505326
"CAALFM_C107010WA",-1.40528147495937
"PUT3",-0.209524476637981
"RBT4",0.397200295084802
"CAALFM_C107040CA",-0.905588095410441
"CAALFM_C107050CA",0.244933120689219
"CAALFM_C107060CA",-0.706265050898016
"DHH1",-0.0929529914076875
"CAALFM_C107080WA",2.36890009909866
"CAALFM_C107090CA",0.0223796288117553
"CAALFM_C107100CA",0.269411486009785
"TAF145",0.232328265951438
"GAP4",-0.172627615228604
"CAALFM_C107130CA",-0.0786088215542824
"RIA1",-0.464005335881958
"CAALFM_C107150WA",-0.613089169853267
"CAALFM_C107160CA",5.22375236623607
"ZCF23",1.08239794148999
"CCS1",-0.250007853170631
"SOG2",-0.570169038475938
"YMC1",-1.06870021664285
"CAALFM_C107210CA",0.641064449796518
"CAALFM_C107220WA",7.22760240427237
"PHO15",-1.61604779978986
"YPD1",-0.655837696154638
"ALG9",-0.18284698823407
"CAALFM_C107260CA",0.217197151093154
"SEC34",0.220759875566778
"CAALFM_C107280CA",-0.823351813196248
"tL(AAG)2",-3.23591281959014
"CAALFM_C107320WA",0.0719077958688645
"RME1",-0.613569803110426
"CAALFM_C107340WA",0.102401093460914
"GPX3",0.0139405364539355
"CAALFM_C107360WA",0.166596440391068
"CPH1",0.455333900353123
"KSP1",0.559974751592507
"CAALFM_C107390WA",0.647346485606263
"CAALFM_C107400CA",0.0310802998164853
"SKP1",-0.758613214535968
"PEX3",1.74662666892766
"PHO100",0.246294415537928
"CAALFM_C107440WA",0.539291858567289
"CAALFM_C107450WA",-0.262521361809762
"GPI8",0.0485016229648902
"CAALFM_C107470CA",-1.11079812516339
"CAALFM_C107480CA",-0.623568845179312
"CAALFM_C107490CA",0.116465835946943
"LHP1",-0.0064213160490074
"CAALFM_C107510WA",-0.127208545242277
"IST2",-0.748201890324185
"CAALFM_C107530WA",-0.0249520420696407
"BBC1",0.25856440226209
"SWD2",-0.267071637658351
"CAALFM_C107560WA",0.747530769403957
"CAALFM_C107570CA",-0.00354551563228145
